영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
소공녀,Microhabitat,2017,한국,"멜로/로맨스,드라마",배급사,"455,036,600","56,808","465,155,200","58,120"
더 포스트,The Post,2017,미국,"드라마,스릴러",배급사,"1,086,059,148","137,320","1,086,801,148","137,406"
원더,Wonder,2017,미국,드라마,"배급사,수입사","1,971,711,689","258,181","1,975,939,689","258,813"
메리와 마녀의 꽃,Mary and The Witch’s Flower,2017,일본,"애니메이션,어드벤처",배급사,"4,066,252,739","535,603","4,066,564,739","535,669"
벤딩 디 아크: 세상을 바꾸는 힘,Bending the Arc,2017,미국,다큐멘터리,"배급사,수입사","27,478,600","3,889","28,444,600","4,050"
올드마린보이,Old Marine Boy,2017,한국,다큐멘터리,배급사,"67,818,800","9,555","69,191,800","9,820"
나의 엔젤,Angel,2017,프랑스,멜로/로맨스,배급사,"68,315,000","9,097","68,315,000","9,097"
시인의 사랑,The Poet and The Boy,2017,한국,드라마,"배급사,제공","97,464,900","12,547","97,464,900","12,547"
예감은 틀리지 않는다,The Sense of an Ending,2017,영국,드라마,배급사,"328,415,900","41,994","328,415,900","41,994"
송 투 송,Song to Song,2017,미국,"드라마,멜로/로맨스",배급사,"172,525,100","22,518","172,525,100","22,518"
하루,A Day,2017,한국,스릴러,"배급사,제공","9,072,737,842","1,129,609","9,072,737,842","1,129,609"
노무현입니다,OUR PRESIDENT,2017,한국,다큐멘터리,배급사,"14,554,935,612","1,854,867","14,558,317,612","1,855,349"
어느날,Oneday,2017,한국,멜로/로맨스,배급사,"1,845,841,582","234,681","1,846,581,582","234,829"
영주,,2017,한국,드라마,"배급사,제공",,,,
우상,,2017,한국,스릴러,"배급사,제공",,,,
아기와 나,Baby Beside Me,2016,한국,드라마,배급사,"17,949,800","2,356","18,540,900","2,455"
꿈의 제인,Jane,2016,한국,드라마,배급사,"203,379,700","24,874","205,039,700","25,060"
파운더,The Founder,2016,미국,드라마,배급사,"275,304,900","34,593","275,304,900","34,593"
골드,Gold,2016,미국,"드라마,어드벤처",배급사,"195,316,900","25,612","195,316,900","25,612"
파도가 지나간 자리,The Light Between Oceans,2016,"미국,뉴질랜드,영국","드라마,멜로/로맨스",배급사,"638,371,200","82,717","638,463,700","82,736"
문라이트,Moonlight,2016,미국,드라마,배급사,"1,403,639,195","177,483","1,410,232,595","178,338"
재심,New Trial,2016,한국,드라마,배급사,"19,264,792,637","2,421,011","19,266,319,637","2,421,197"
걷기왕,Queen of Walking,2016,한국,드라마,"배급사,제공","710,905,075","95,542","710,905,075","95,542"
죽여주는 여자,The Bacchus Lady,2016,한국,드라마,배급사,"884,865,300","121,444","884,934,300","121,452"
카페 소사이어티,Cafe Society,2016,미국,"멜로/로맨스,드라마",배급사,"1,047,223,666","126,439","1,048,530,166","126,621"
최악의 하루,Worst Woman,2016,한국,멜로/로맨스,"배급사,제공","639,959,190","80,754","643,607,190","81,215"
우리집 멍멍이 진진과 아키다,"My Dogs, JinJin & Akida",2016,한국,애니메이션,배급사,,,"973,100",114
