영화인 '라이언 레놀즈'의 필모 리스트,,,,,,,,,
영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
앨빈과 슈퍼밴드3,Alvin And The Chipmunks: Chip-Wrecked,2011,미국,"애니메이션,코미디,어드벤처,가족","배급사,수입사","3,763,147,000","569,773","3,764,908,000","570,150"
인 타임,In Time,2011,미국,"SF,스릴러,액션","배급사,수입사","4,579,554,500","616,943","4,579,554,500","616,943"
파퍼씨네 펭귄들,Mr. Popper's Penguins,2011,미국,코미디,"배급사,수입사","7,049,177,000","980,387","7,049,177,000","980,387"
혹성탈출: 진화의 시작,Rise of the Planet of the Apes,2011,미국,"액션,SF,드라마","배급사,수입사","20,629,757,000","2,773,794","20,629,757,000","2,773,794"
리오,Rio,2011,미국,"애니메이션,어드벤처,코미디","배급사,수입사","5,022,007,500","645,191","5,021,719,500","645,151"
워터 포 엘리펀트,Water For Elephants,2011,미국,드라마,"배급사,수입사","418,236,500","55,561","418,236,500","55,561"
엑스맨: 퍼스트 클래스,X-Men: First Class,2010,미국,액션,"배급사,수입사","19,075,363,000","2,533,852","19,081,006,000","2,534,979"
네버 렛 미 고,Never Let Me Go,2010,미국,"드라마,멜로/로맨스","배급사,수입사","32,845,500","4,165","32,845,500","4,165"
블랙 스완,Black Swan,2010,미국,"드라마,스릴러","배급사,수입사","12,484,096,000","1,623,199","12,486,540,500","1,623,518"
127시간,127 Hours,2010,미국,"드라마,스릴러","배급사,수입사","1,337,550,500","180,846","1,337,557,500","180,847"
걸리버 여행기,Gulliver's Travels,2010,미국,"코미디,어드벤처","배급사,수입사","16,441,355,500","1,762,070","16,441,365,500","1,762,071"
러브 & 드럭스,Love And Other Drugs,2010,미국,"멜로/로맨스,코미디",배급사,"4,125,733,000","527,077","4,125,733,000","527,077"
황해,The Yellow Sea,2010,"한국,미국,중국","스릴러,액션,범죄",배급사,"16,765,970,362","2,167,426","17,497,165,500","2,260,512"
나니아 연대기: 새벽 출정호의 항해,The Chronicles of Narnia: The Voyage of The Dawn Treader,2010,미국,"판타지,가족,어드벤처","배급사,수입사","11,276,008,290","1,182,228","11,168,877,200","1,172,586"
언스토퍼블,Unstoppable,2010,미국,"액션,스릴러,드라마","배급사,수입사","3,325,136,489","459,535","3,273,318,500","452,320"
월 스트리트: 머니 네버 슬립스,Wall Street 2: Money Never Sleeps,2010,미국,"드라마,범죄,스릴러","배급사,수입사","1,788,986,817","245,343","1,760,899,000","241,438"
프레데터스,Predators,2010,미국,"액션,스릴러,SF,어드벤처","배급사,수입사","2,025,850,507","281,642","1,991,492,500","276,536"
나잇&데이,Knight & Day,2010,미국,"액션,코미디","배급사,수입사","17,054,262,425","2,282,191","16,777,869,600","2,243,484"
A-특공대,The A-Team,2010,미국,액션,"배급사,수입사","5,890,424,042","791,173","5,795,794,000","777,985"
크레이지 하트,Crazy Heart,2010,미국,"드라마,멜로/로맨스","배급사,수입사","48,773,260","6,313","48,007,500","6,213"
퍼시 잭슨과 번개 도둑,Percy Jackson & The Olympians: The Lightning Thief,2010,미국,"판타지,어드벤처","배급사,수입사","13,372,357,257","1,877,226","13,158,158,500","1,846,180"
아바타 3D 스페셜에디션,Avatar,2009,미국,"SF,액션","배급사,수입사",,,"1,870,164,500","148,098"
500일의 썸머,500Days Of Summer,2009,미국,"드라마,멜로/로맨스","배급사,수입사","1,064,051,540","140,458","2,273,092,800","286,240"
앨빈과 슈퍼밴드2,Alvin And The Chipmunks 2,2009,미국,"가족,코미디,드라마","배급사,수입사","4,171,956,017","625,900","4,113,157,000","617,085"
